"filename", "language", "PHP", "JSON", "Markdown", "XML", "YAML", "JavaScript", "CSS", "Batch", "Shell Script", "SQLite", "SCSS", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\cscs\build\scss\_navs.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 0, 5, 22, 146
"c:\xampp\htdocs\cscs\build\scss\_pagination.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 3, 6, 75
"c:\xampp\htdocs\cscs\build\scss\_print.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 8, 9, 53
"c:\xampp\htdocs\cscs\build\scss\_products.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 3, 16, 69
"c:\xampp\htdocs\cscs\build\scss\_progress-bars.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 8, 13, 73
"c:\xampp\htdocs\cscs\build\scss\_sidebar-mini.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 433, 0, 5, 67, 505
"c:\xampp\htdocs\cscs\build\scss\_small-box.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 135, 0, 8, 23, 166
"c:\xampp\htdocs\cscs\build\scss\_social-widgets.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 14, 16, 94
"c:\xampp\htdocs\cscs\build\scss\_table.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 0, 9, 18, 156
"c:\xampp\htdocs\cscs\build\scss\_text.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 5, 9, 46
"c:\xampp\htdocs\cscs\build\scss\_timeline.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 135, 0, 12, 9, 156
"c:\xampp\htdocs\cscs\build\scss\_toasts.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 3, 12, 69
"c:\xampp\htdocs\cscs\build\scss\_users-list.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 3, 9, 55
"c:\xampp\htdocs\cscs\build\scss\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 154, 0, 45, 33, 232
"c:\xampp\htdocs\cscs\build\scss\adminlte.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 10, 4, 25
"c:\xampp\htdocs\cscs\build\scss\mixins\_accent.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 4, 15, 105
"c:\xampp\htdocs\cscs\build\scss\mixins\_backgrounds.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 5, 9, 65
"c:\xampp\htdocs\cscs\build\scss\mixins\_cards.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 3, 14, 83
"c:\xampp\htdocs\cscs\build\scss\mixins\_custom-forms.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 7, 24, 124
"c:\xampp\htdocs\cscs\build\scss\mixins\_direct-chat.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 4, 3, 18
"c:\xampp\htdocs\cscs\build\scss\mixins\_miscellaneous.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 6, 8, 33
"c:\xampp\htdocs\cscs\build\scss\mixins\_navbar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 4, 5, 63
"c:\xampp\htdocs\cscs\build\scss\mixins\_sidebar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 0, 14, 26, 167
"c:\xampp\htdocs\cscs\build\scss\mixins\_toasts.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 4, 5, 24
"c:\xampp\htdocs\cscs\build\scss\pages\_404_500_errors.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 5, 9, 44
"c:\xampp\htdocs\cscs\build\scss\pages\_e-commerce.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 7, 8, 46
"c:\xampp\htdocs\cscs\build\scss\pages\_iframe.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 9, 82
"c:\xampp\htdocs\cscs\build\scss\pages\_invoice.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 3, 4, 20
"c:\xampp\htdocs\cscs\build\scss\pages\_kanban.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 8, 61
"c:\xampp\htdocs\cscs\build\scss\pages\_lockscreen.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 8, 15, 94
"c:\xampp\htdocs\cscs\build\scss\pages\_login_and_register.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 0, 3, 19, 119
"c:\xampp\htdocs\cscs\build\scss\pages\_mailbox.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 3, 19, 100
"c:\xampp\htdocs\cscs\build\scss\pages\_profile.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 3, 8, 45
"c:\xampp\htdocs\cscs\build\scss\pages\_projects.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 5, 5, 27
"c:\xampp\htdocs\cscs\build\scss\parts\_components.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 3, 2, 16
"c:\xampp\htdocs\cscs\build\scss\parts\_core.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 3, 2, 14
"c:\xampp\htdocs\cscs\build\scss\parts\_extra-components.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 3, 2, 12
