Date : 2023-04-21 21:53:48
Directory : c:\xampp\htdocs\cscs
Total : 3485 files,  632248 codes, 103588 comments, 107325 blanks, all 843161 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\cscs\build\scss\mixins\_cards.scss                                                                                                               | SCSS         |         66 |          3 |         14 |         83 |
| c:\xampp\htdocs\cscs\build\scss\mixins\_custom-forms.scss                                                                                                        | SCSS         |         93 |          7 |         24 |        124 |
| c:\xampp\htdocs\cscs\build\scss\mixins\_direct-chat.scss                                                                                                         | SCSS         |         11 |          4 |          3 |         18 |
| c:\xampp\htdocs\cscs\build\scss\mixins\_miscellaneous.scss                                                                                                       | SCSS         |         19 |          6 |          8 |         33 |
| c:\xampp\htdocs\cscs\build\scss\mixins\_navbar.scss                                                                                                              | SCSS         |         54 |          4 |          5 |         63 |
| c:\xampp\htdocs\cscs\build\scss\mixins\_sidebar.scss                                                                                                             | SCSS         |        127 |         14 |         26 |        167 |
| c:\xampp\htdocs\cscs\build\scss\mixins\_toasts.scss                                                                                                              | SCSS         |         15 |          4 |          5 |         24 |
| c:\xampp\htdocs\cscs\build\scss\pages\_404_500_errors.scss                                                                                                       | SCSS         |         30 |          5 |          9 |         44 |
| c:\xampp\htdocs\cscs\build\scss\pages\_e-commerce.scss                                                                                                           | SCSS         |         31 |          7 |          8 |         46 |
| c:\xampp\htdocs\cscs\build\scss\pages\_iframe.scss                                                                                                               | SCSS         |         73 |          0 |          9 |         82 |
| c:\xampp\htdocs\cscs\build\scss\pages\_invoice.scss                                                                                                              | SCSS         |         13 |          3 |          4 |         20 |
| c:\xampp\htdocs\cscs\build\scss\pages\_kanban.scss                                                                                                               | SCSS         |         53 |          0 |          8 |         61 |
| c:\xampp\htdocs\cscs\build\scss\pages\_lockscreen.scss                                                                                                           | SCSS         |         71 |          8 |         15 |         94 |
| c:\xampp\htdocs\cscs\build\scss\pages\_login_and_register.scss                                                                                                   | SCSS         |         97 |          3 |         19 |        119 |
| c:\xampp\htdocs\cscs\build\scss\pages\_mailbox.scss                                                                                                              | SCSS         |         78 |          3 |         19 |        100 |
| c:\xampp\htdocs\cscs\build\scss\pages\_profile.scss                                                                                                              | SCSS         |         34 |          3 |          8 |         45 |
| c:\xampp\htdocs\cscs\build\scss\pages\_projects.scss                                                                                                             | SCSS         |         17 |          5 |          5 |         27 |
| c:\xampp\htdocs\cscs\build\scss\parts\_components.scss                                                                                                           | SCSS         |         11 |          3 |          2 |         16 |
| c:\xampp\htdocs\cscs\build\scss\parts\_core.scss                                                                                                                 | SCSS         |          9 |          3 |          2 |         14 |
| c:\xampp\htdocs\cscs\build\scss\parts\_extra-components.scss                                                                                                     | SCSS         |          7 |          3 |          2 |         12 |
| c:\xampp\htdocs\cscs\build\scss\parts\_miscellaneous.scss                                                                                                        | SCSS         |          5 |          3 |          2 |         10 |
