Date : 2023-04-21 21:53:48
Directory : c:\xampp\htdocs\cscs
Total : 3485 files,  632248 codes, 103588 comments, 107325 blanks, all 843161 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Value\ExtensionBootstrap.php                                                           | PHP          |         20 |         29 |          6 |         55 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Value\ExtensionBootstrapCollection.php                                                 | PHP          |         23 |         24 |          7 |         54 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Value\ExtensionBootstrapCollectionIterator.php                                         | PHP          |         39 |         16 |         10 |         65 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Value\File.php                                                                         | PHP          |         14 |         13 |          4 |         31 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Value\FileCollection.php                                                               | PHP          |         33 |         24 |          9 |         66 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Value\FileCollectionIterator.php                                                       | PHP          |         39 |         16 |         10 |         65 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Value\FilterDirectory.php                                                              | PHP          |         26 |         13 |          6 |         45 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Value\FilterDirectoryCollection.php                                                    | PHP          |         33 |         24 |          9 |         66 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Value\FilterDirectoryCollectionIterator.php                                            | PHP          |         39 |         16 |         10 |         65 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Value\Group.php                                                                        | PHP          |         14 |         13 |          4 |         31 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Value\GroupCollection.php                                                              | PHP          |         35 |         27 |         11 |         73 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Value\GroupCollectionIterator.php                                                      | PHP          |         39 |         16 |         10 |         65 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Value\IniSetting.php                                                                   | PHP          |         20 |         13 |          5 |         38 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Value\IniSettingCollection.php                                                         | PHP          |         29 |         24 |          8 |         61 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Value\IniSettingCollectionIterator.php                                                 | PHP          |         39 |         16 |         10 |         65 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Value\Php.php                                                                          | PHP          |         74 |         13 |         14 |        101 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Value\TestDirectory.php                                                                | PHP          |         39 |         13 |          9 |         61 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Value\TestDirectoryCollection.php                                                      | PHP          |         33 |         24 |          9 |         66 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Value\TestDirectoryCollectionIterator.php                                              | PHP          |         39 |         16 |         10 |         65 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Value\TestFile.php                                                                     | PHP          |         27 |         13 |          7 |         47 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Value\TestFileCollection.php                                                           | PHP          |         33 |         24 |          9 |         66 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Value\TestFileCollectionIterator.php                                                   | PHP          |         39 |         16 |         10 |         65 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Value\TestSuite.php                                                                    | PHP          |         32 |         13 |          7 |         52 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Value\TestSuiteCollection.php                                                          | PHP          |         33 |         24 |          9 |         66 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Value\TestSuiteCollectionIterator.php                                                  | PHP          |         39 |         16 |         10 |         65 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Value\Variable.php                                                                     | PHP          |         26 |         13 |          6 |         45 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Value\VariableCollection.php                                                           | PHP          |         29 |         24 |          8 |         61 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Value\VariableCollectionIterator.php                                                   | PHP          |         39 |         16 |         10 |         65 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\CodeCoverage\CodeCoverage.php                                                      | PHP          |        192 |         65 |         37 |        294 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\CodeCoverage\Report\Clover.php                                                     | PHP          |         15 |         13 |          5 |         33 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\CodeCoverage\Report\Cobertura.php                                                  | PHP          |         15 |         13 |          5 |         33 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\CodeCoverage\Report\Crap4j.php                                                     | PHP          |         21 |         13 |          6 |         40 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\CodeCoverage\Report\Html.php                                                       | PHP          |         71 |         19 |         15 |        105 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\CodeCoverage\Report\Php.php                                                        | PHP          |         15 |         13 |          5 |         33 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\CodeCoverage\Report\Text.php                                                       | PHP          |         27 |         13 |          7 |         47 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\CodeCoverage\Report\Xml.php                                                        | PHP          |         15 |         13 |          5 |         33 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Configuration.php                                                                  | PHP          |         63 |         19 |         13 |         95 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\DefaultConfiguration.php                                                           | PHP          |        118 |         13 |          4 |        135 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Exception.php                                                                      | PHP          |          6 |         11 |          3 |         20 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Generator.php                                                                      | PHP          |         50 |         14 |          6 |         70 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Groups.php                                                                         | PHP          |         29 |         13 |          8 |         50 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\LoadedFromFileConfiguration.php                                                    | PHP          |         43 |         13 |          9 |         65 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Loader.php                                                                         | PHP          |        757 |         27 |        179 |        963 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Logging\Junit.php                                                                  | PHP          |         15 |         13 |          5 |         33 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Logging\Logging.php                                                                | PHP          |         63 |         25 |         16 |        104 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Logging\TeamCity.php                                                               | PHP          |         15 |         13 |          5 |         33 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Logging\TestDox\Html.php                                                           | PHP          |         15 |         13 |          5 |         33 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Logging\TestDox\Text.php                                                           | PHP          |         15 |         13 |          5 |         33 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\MigrationBuilder.php                                                     | PHP          |         69 |         14 |         10 |         93 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\MigrationBuilderException.php                                            | PHP          |          6 |         11 |          3 |         20 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\MigrationException.php                                                   | PHP          |          6 |         11 |          3 |         20 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrations\ConvertLogTypes.php                                           | PHP          |         34 |         11 |          9 |         54 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrations\CoverageCloverToReport.php                                    | PHP          |         16 |         11 |          6 |         33 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrations\CoverageCrap4jToReport.php                                    | PHP          |         17 |         11 |          6 |         34 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrations\CoverageHtmlToReport.php                                      | PHP          |         17 |         11 |          6 |         34 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrations\CoveragePhpToReport.php                                       | PHP          |         16 |         11 |          5 |         32 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrations\CoverageTextToReport.php                                      | PHP          |         17 |         11 |          6 |         34 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrations\CoverageXmlToReport.php                                       | PHP          |         16 |         11 |          5 |         32 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrations\IntroduceCacheDirectoryAttribute.php                          | PHP          |         17 |         11 |          6 |         34 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrations\IntroduceCoverageElement.php                                  | PHP          |         14 |         11 |          4 |         29 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrations\LogToReportMigration.php                                      | PHP          |         49 |         14 |         17 |         80 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrations\Migration.php                                                 | PHP          |          7 |         11 |          3 |         21 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrations\MoveAttributesFromFilterWhitelistToCoverage.php               | PHP          |         29 |         14 |          9 |         52 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrations\MoveAttributesFromRootToCoverage.php                          | PHP          |         28 |         14 |          9 |         51 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrations\MoveWhitelistDirectoriesToCoverage.php                        | PHP          |         27 |         14 |          9 |         50 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrations\MoveWhitelistExcludesToCoverage.php                           | PHP          |         44 |         14 |         15 |         73 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrations\RemoveBeStrictAboutResourceUsageDuringSmallTestsAttribute.php | PHP          |         16 |         11 |          5 |         32 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrations\RemoveBeStrictAboutTodoAnnotatedTestsAttribute.php            | PHP          |         16 |         11 |          5 |         32 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrations\RemoveCacheResultFileAttribute.php                            | PHP          |         16 |         11 |          5 |         32 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrations\RemoveCacheTokensAttribute.php                                | PHP          |         16 |         11 |          5 |         32 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrations\RemoveConversionToExceptionsAttributes.php                    | PHP          |         25 |         11 |          8 |         44 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrations\RemoveCoverageElementCacheDirectoryAttribute.php              | PHP          |         17 |         11 |          5 |         33 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrations\RemoveCoverageElementProcessUncoveredFilesAttribute.php       | PHP          |         17 |         11 |          5 |         33 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrations\RemoveEmptyFilter.php                                         | PHP          |         30 |         17 |          8 |         55 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrations\RemoveListeners.php                                           | PHP          |         15 |         11 |          5 |         31 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrations\RemoveLogTypes.php                                            | PHP          |         24 |         11 |          6 |         41 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrations\RemoveLoggingElements.php                                     | PHP          |         29 |         11 |          9 |         49 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrations\RemoveNoInteractionAttribute.php                              | PHP          |         16 |         11 |          5 |         32 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrations\RemovePrinterAttributes.php                                   | PHP          |         19 |         11 |          6 |         36 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrations\RemoveTestDoxGroupsElement.php                                | PHP          |         15 |         11 |          5 |         31 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrations\RemoveTestSuiteLoaderAttributes.php                           | PHP          |         19 |         11 |          6 |         36 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrations\RemoveVerboseAttribute.php                                    | PHP          |         16 |         11 |          5 |         32 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrations\RenameBackupStaticAttributesAttribute.php                     | PHP          |         21 |         11 |          7 |         39 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrations\RenameBeStrictAboutCoversAnnotationAttribute.php              | PHP          |         21 |         11 |          7 |         39 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrations\RenameForceCoversAnnotationAttribute.php                      | PHP          |         21 |         11 |          7 |         39 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrations\UpdateSchemaLocation.php                                      | PHP          |         19 |         11 |          5 |         35 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\Migration\Migrator.php                                                             | PHP          |         33 |         17 |          8 |         58 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\PHPUnit.php                                                                        | PHP          |        319 |         47 |         59 |        425 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Configuration\Xml\TestSuiteMapper.php                                                                | PHP          |         78 |         16 |         18 |        112 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Exception\Exception.php                                                                              | PHP          |          6 |         11 |          3 |         20 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Exception\ExtensionsNotConfiguredException.php                                                       | PHP          |          6 |         11 |          3 |         20 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Exception\ReflectionException.php                                                                    | PHP          |          6 |         11 |          3 |         20 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Exception\RuntimeException.php                                                                       | PHP          |          5 |         11 |          2 |         18 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Exception\TestDirectoryNotFoundException.php                                                         | PHP          |         16 |         11 |          3 |         30 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Exception\TestFileNotFoundException.php                                                              | PHP          |         16 |         11 |          3 |         30 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Help.php                                                                                             | PHP          |        215 |         11 |         45 |        271 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Output\Default\ProgressPrinter\ProgressPrinter.php                                                   | PHP          |        223 |         22 |         40 |        285 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Output\Default\ProgressPrinter\Subscriber\BeforeTestClassMethodErroredSubscriber.php                 | PHP          |         11 |         11 |          3 |         25 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Output\Default\ProgressPrinter\Subscriber\Subscriber.php                                             | PHP          |         14 |         11 |          4 |         29 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Output\Default\ProgressPrinter\Subscriber\TestConsideredRiskySubscriber.php                          | PHP          |         11 |         11 |          3 |         25 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Output\Default\ProgressPrinter\Subscriber\TestErroredSubscriber.php                                  | PHP          |         11 |         11 |          3 |         25 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Output\Default\ProgressPrinter\Subscriber\TestFailedSubscriber.php                                   | PHP          |         11 |         11 |          3 |         25 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Output\Default\ProgressPrinter\Subscriber\TestFinishedSubscriber.php                                 | PHP          |         11 |         11 |          3 |         25 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Output\Default\ProgressPrinter\Subscriber\TestMarkedIncompleteSubscriber.php                         | PHP          |         11 |         11 |          3 |         25 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Output\Default\ProgressPrinter\Subscriber\TestPreparedSubscriber.php                                 | PHP          |         11 |         11 |          3 |         25 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Output\Default\ProgressPrinter\Subscriber\TestPrintedUnexpectedOutputSubscriber.php                  | PHP          |         11 |         11 |          3 |         25 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Output\Default\ProgressPrinter\Subscriber\TestRunnerExecutionStartedSubscriber.php                   | PHP          |         11 |         11 |          3 |         25 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Output\Default\ProgressPrinter\Subscriber\TestSkippedSubscriber.php                                  | PHP          |         11 |         11 |          3 |         25 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Output\Default\ProgressPrinter\Subscriber\TestTriggeredDeprecationSubscriber.php                     | PHP          |         11 |         11 |          3 |         25 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Output\Default\ProgressPrinter\Subscriber\TestTriggeredNoticeSubscriber.php                          | PHP          |         11 |         11 |          3 |         25 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Output\Default\ProgressPrinter\Subscriber\TestTriggeredPhpDeprecationSubscriber.php                  | PHP          |         11 |         11 |          3 |         25 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Output\Default\ProgressPrinter\Subscriber\TestTriggeredPhpNoticeSubscriber.php                       | PHP          |         11 |         11 |          3 |         25 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Output\Default\ProgressPrinter\Subscriber\TestTriggeredPhpWarningSubscriber.php                      | PHP          |         11 |         11 |          3 |         25 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Output\Default\ProgressPrinter\Subscriber\TestTriggeredPhpunitDeprecationSubscriber.php              | PHP          |         11 |         11 |          3 |         25 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Output\Default\ProgressPrinter\Subscriber\TestTriggeredPhpunitWarningSubscriber.php                  | PHP          |         11 |         11 |          3 |         25 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Output\Default\ProgressPrinter\Subscriber\TestTriggeredWarningSubscriber.php                         | PHP          |         11 |         11 |          3 |         25 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Output\Default\ResultPrinter.php                                                                     | PHP          |        448 |         22 |         94 |        564 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Output\Facade.php                                                                                    | PHP          |        183 |         22 |         44 |        249 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Output\Printer\DefaultPrinter.php                                                                    | PHP          |         69 |         30 |         17 |        116 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Output\Printer\NullPrinter.php                                                                       | PHP          |         11 |         11 |          3 |         25 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Output\Printer\Printer.php                                                                           | PHP          |          7 |         11 |          3 |         21 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Output\SummaryPrinter.php                                                                            | PHP          |        121 |         11 |         18 |        150 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\Output\TestDox\ResultPrinter.php                                                                     | PHP          |        284 |         29 |         68 |        381 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\ShellExitCodeCalculator.php                                                                          | PHP          |         37 |         11 |         12 |         60 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\TestRunner.php                                                                                       | PHP          |         51 |         14 |         11 |         76 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\TextUI\TestSuiteFilterProcessor.php                                                                         | PHP          |         61 |         15 |         12 |         88 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\Util\Cloner.php                                                                                             | PHP          |         14 |         18 |          3 |         35 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\Util\Color.php                                                                                              | PHP          |        136 |         20 |         24 |        180 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\Util\ErrorHandler.php                                                                                       | PHP          |        124 |         27 |         32 |        183 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\Util\Exception\DirectoryDoesNotExistException.php                                                           | PHP          |         16 |         11 |          3 |         30 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\Util\Exception\Exception.php                                                                                | PHP          |          6 |         11 |          3 |         20 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\Util\Exception\InvalidDirectoryException.php                                                                | PHP          |         16 |         11 |          3 |         30 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\Util\Exception\InvalidJsonException.php                                                                     | PHP          |          6 |         11 |          3 |         20 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\Util\Exception\InvalidSocketException.php                                                                   | PHP          |         16 |         11 |          3 |         30 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\Util\Exception\InvalidVersionOperatorException.php                                                          | PHP          |         16 |         11 |          3 |         30 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\Util\Exception\NoTestCaseObjectOnCallStackException.php                                                     | PHP          |         10 |         11 |          3 |         24 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\Util\Exception\PhpProcessException.php                                                                      | PHP          |          7 |         11 |          3 |         21 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\Util\Exception\XmlException.php                                                                             | PHP          |          7 |         11 |          3 |         21 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\Util\ExcludeList.php                                                                                        | PHP          |        115 |         54 |         44 |        213 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\Util\Filesystem.php                                                                                         | PHP          |         11 |         11 |          3 |         25 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\Util\Filter.php                                                                                             | PHP          |         85 |         15 |         16 |        116 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\Util\GlobalState.php                                                                                        | PHP          |        221 |         28 |         39 |        288 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\Util\Json.php                                                                                               | PHP          |         47 |         34 |         13 |         94 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\Util\PHP\AbstractPhpProcess.php                                                                             | PHP          |        210 |         71 |         52 |        333 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\Util\PHP\DefaultPhpProcess.php                                                                              | PHP          |        161 |         33 |         46 |        240 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\Util\PHP\WindowsPhpProcess.php                                                                              | PHP          |         22 |         17 |          5 |         44 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\Util\Reflection.php                                                                                         | PHP          |         47 |         26 |         12 |         85 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\Util\Test.php                                                                                               | PHP          |         22 |         11 |          6 |         39 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\Util\ThrowableToStringMapper.php                                                                            | PHP          |         27 |         11 |          8 |         46 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\Util\VersionComparisonOperator.php                                                                          | PHP          |         22 |         29 |          7 |         58 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\Util\Xml.php                                                                                                | PHP          |         52 |         19 |          9 |         80 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\Util\Xml\Exception.php                                                                                      | PHP          |          6 |         11 |          3 |         20 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\Util\Xml\FailedSchemaDetectionResult.php                                                                    | PHP          |          5 |         13 |          2 |         20 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\Util\Xml\Loader.php                                                                                         | PHP          |         79 |         19 |         20 |        118 |
| c:\xampp\htdocs\cscs\test\vendor\phpunit\phpunit\src\Util\Xml\SchemaDetectionResult.php                                                                          | PHP          |         13 |         16 |          3 |         32 |
